measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,11,Indonesia,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2000,0.03835813994583499,0.04064175589443557,0.036229543073421556
5,Prevalence,11,Indonesia,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2005,0.04156855878188015,0.04394105935641453,0.03931265750323099
5,Prevalence,11,Indonesia,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2010,0.04495721148700001,0.04773409003276585,0.04241362119558092
5,Prevalence,11,Indonesia,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2015,0.04891816233152711,0.051712683520678815,0.04621081788100376
5,Prevalence,11,Indonesia,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2019,0.05311793328149153,0.05643622846778499,0.05002729444114622
5,Prevalence,30,Vanuatu,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2000,0.03967864212613567,0.042203600168995645,0.03735544316770851
5,Prevalence,30,Vanuatu,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2005,0.04145139512360238,0.044137631073427365,0.03908426608880998
5,Prevalence,30,Vanuatu,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2010,0.044111178060083564,0.04696386649366152,0.04144580253377927
5,Prevalence,30,Vanuatu,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2015,0.04660586240816915,0.049385560383642814,0.04393160214918793
5,Prevalence,30,Vanuatu,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2019,0.048644300683968925,0.05159095649213297,0.0458525593376107
5,Prevalence,41,Uzbekistan,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2000,0.04463854591016845,0.04731263678687899,0.042063050619983715
5,Prevalence,41,Uzbekistan,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2005,0.045164043127599016,0.04792305602521217,0.04269593025075615
5,Prevalence,41,Uzbekistan,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2010,0.046936956042744234,0.04976837533509022,0.04415856032277751
5,Prevalence,41,Uzbekistan,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2015,0.0499199096611724,0.052696485475750066,0.04718075789124071
5,Prevalence,41,Uzbekistan,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,2019,0.05396686794580218,0.05707071583907799,0.050899095055675775
5,Prevalence,33,Armenia,3,Both,22,All ages,974,Diabetes and kidney diseases,2,Percent,2000,0.11970677841086755,0.12662593938834413,0.11283747153854079
